遼	辽
鐐	镣
鬧	闹
鷯	鹩
矓	胧
龍	龙
僂	偻
嘍	喽
壘	垒
婁	娄
屢	屡
嶁	嵝
摟	搂
樓	楼
淚	泪
瘺	瘘
簍	篓
縷	缕
耬	耧
蔞	蒌
螻	蝼
褸	褛
鏤	镂
髏	髅
纍	累
霤	溜
劉	刘
瀏	浏
類	类
綹	绺
縲	缧
謬	谬
鉚	铆
鎦	镏
餾	馏
騮	骝
鷚	鹨
僇	戮
陸	陆
侖	仑
崙	仑
倫	伦
圇	囵
掄	抡
淪	沦
綸	纶
輪	轮
慄	栗
扐	仂
鰳	鳓
凜	凛
廩	廪
懍	檩
檁	檩
蔆	菱
稜	棱
綾	绫
鯪	鲮
釐	厘
離	离
貍	狸
裡	里
裏	里
浬	里
灕	漓
犛	犁
蒞	莅
籬	篱
縭	缡
蘺	蓠
邐	逦
鋰	锂
鯉	鲤
鸝	鹂
燐	磷
藺	蔺
躪	躏
轔	辚
鄰	邻
鱗	鳞
痳	麻
臨	临
痲	麻
麼	麽
麽	么
嗎	吗
嘜	唛
媽	妈
嬤	嬷
榪	杩
瑪	玛
碼	码
螞	蚂
馬	马
鏌	镆
饃	馍
輓	挽
萬	万
巒	峦
彎	弯
懣	懑
灣	湾
滿	满
瞞	瞒
縵	缦
蠻	蛮
謾	谩
鏝	镘
顢	颟
饅	馒
鰻	鳗
襪	袜
網	网
輞	辋
買	买
勱	劢
賣	卖
邁	迈
罵	骂
脈	脉
驀	蓦
麥	麦
錳	锰
冪	幂
覓	觅
麵	面
綿	绵
緬	缅
衊	蔑
滅	灭
銘	铭
鳴	鸣
謀	谋
謨	谟
糢	馍
鉬	钼
鶩	鹜
歿	殁
沒	没
濛	蒙
懞	蒙
矇	蒙
夢	梦
貓	猫
廟	庙
緲	缈
錨	锚
無	无
畝	亩
務	务
嘸	呒
嫵	妩
廡	庑
憮	怃
撫	抚
繆	缪
蕪	芜
誣	诬
貿	贸
霧	雾
騖	骛
鵡	鹉
們	们
抆	擦
捫	扪
紋	纹
鍆	钔
門	门
問	问
聞	闻
閿	阌
黴	霉
彌	弥
瀰	弥
獼	猕
瞇	眯
羋	芈
謎	谜
鎂	镁
憫	悯
澠	渑
燜	焖
緡	缗
閔	闵
悶	闷
閩	闽
黽	黾
謐	谧
樸	朴
撲	扑
剝	剥
縛	缚
釙	钋
鉑	铂
鏷	镤
颮	飑
駁	驳
闆	板
盤	盘
槃	盘
礬	矾
絆	绊
蹣	蹒
頒	颁
飯	饭
發	发
髮	发
撥	拨
潑	泼
缽	钵
鈸	钹
餑	饽
鵓	鹁
踫	碰
倣	仿
徬	旁
幫	帮
龐	庞
紡	纺
綁	绑
訪	访
謗	谤
鈁	钫
鎊	镑
魴	鲂
揹	背
賠	赔
輩	辈
煩	烦
罰	罚
閥	阀
氾	泛
汎	泛
範	范
釩	钒
琺	珐
蘗	蘖
闢	辟
變	变
抃	拚
籩	笾
辯	辩
辮	辫
邊	边
別	别
彆	别
癟	瘪
鱉	鳖
並	并
併	并
餅	饼
駢	骈
寶	宝
報	报
補	补
譜	谱
輔	辅
鐠	镨
鴇	鸨
蔔	卜
僕	仆
複	复
輻	辐
鰒	鳆
鳳	凤
縫	缝
鋒	锋
伕	夫
鳧	凫
復	复
婦	妇
膚	肤
訃	讣
負	负
賦	赋
賻	赙
駙	驸
鮒	鲋
麩	麸
僨	偾
噴	喷
墳	坟
奮	奋
憤	愤
糞	粪
紛	纷
賁	贲
錛	锛
彿	佛
紱	绂
紼	绋
繃	绷
鵬	鹏
祕	秘
痺	痹
屝	扉
備	备
憊	惫
疿	痱
箄	箅
紕	纰
緋	绯
羆	罴
誹	诽
費	费
轡	辔
鐨	镄
飛	飞
鯡	鲱
儐	傧
蘋	苹
嬪	嫔
賓	宾
擯	摈
檳	槟
殯	殡
濱	滨
瀕	濒
繽	缤
臏	膑
貧	贫
鑌	镔
頻	频
顰	颦
髕	髌
鬢	鬓
憑	凭
騁	骋
捨	舍
簑	蓑
絲	丝
寫	写
厙	厍
皻	隳
師	师
瀉	泻
獅	狮
篩	筛
紗	纱
螄	蛳
詐	诈
詞	词
謝	谢
賒	赊
賜	赐
辭	辞
鉈	铊
飼	饲
駛	驶
駟	驷
鯊	鲨
鷥	鸶
爍	烁
鑠	铄
痠	酸
產	产
傘	伞
刪	删
姍	姗
訕	讪
剷	铲
鏟	铲
閂	闩
殺	杀
薩	萨
滲	渗
毿	毵
糝	糁
釤	钐
澀	涩
鍤	锸
颯	飒
喪	丧
傷	伤
償	偿
廂	厢
嘗	尝
殤	殇
狀	状
緗	缃
觴	觞
詳	详
賞	赏
顙	颡
璽	玺
賽	赛
鰓	鳃
嗇	啬
穡	穑
賾	赜
銫	铯
棲	栖
書	书
敘	叙
嶼	屿
紓	纾
緒	绪
鋤	锄
潟	泻
碩	硕
釋	释
錫	锡
亙	亘
鏇	旋
嬋	婵
獮	猕
癬	癣
禪	禅
秈	籼
線	线
繕	缮
羨	羡
蘚	藓
蟬	蝉
詵	诜
躚	跹
選	选
銑	铣
鏇	镟
騸	骟
鮮	鲜
鱔	鳝
洩	泄
抴	曳
褻	亵
齧	啮
紲	绁
設	设
說	说
鱈	鳕
摻	掺
殲	歼
纖	窍
纖	纤
譫	谵
贍	赡
閃	闪
陝	陕
囁	嗫
懾	慑
攝	摄
灄	滠
聶	聂
躡	蹑
鑷	镊
顳	颞
聖	圣
聲	声
誠	诚
鋮	铖
勢	势
歲	岁
稅	税
細	细
貰	贳
篠	筱
嘯	啸
掃	扫
瀟	潇
燒	烧
穌	稣
簫	箫
紹	绍
繅	缫
甦	苏
蘇	苏
囌	苏
蕭	萧
訴	诉
銷	销
騷	骚
屬	属
續	续
謖	谡
贖	赎
孫	孙
損	损
猻	狲
蓀	荪
遜	逊
鬆	松
訟	讼
誦	诵
鍶	锶
頌	颂
灑	洒
嗩	唢
曬	晒
瑣	琐
鎩	铩
鎖	锁
釗	钊
脩	修
獸	兽
壽	寿
帥	帅
擻	擞
數	数
樹	树
豎	竖
繡	绣
綏	绥
綬	绶
藪	薮
雖	虽
誰	谁
誶	谇
輸	输
銖	铢
銹	锈
鏽	锈
鎪	锼
隨	随
讎	雠
須	须
鬚	须
颼	飕
餿	馊
饈	馐
肅	肃
脣	唇
筍	笋
純	纯
詢	询
諄	谆
順	顺
馴	驯
鶉	鹑
卹	恤
術	术
習	习
濕	湿
溼	湿
襲	袭
繩	绳
勝	胜
蠅	蝇
廝	厮
弒	弑
塒	埘
時	时
緦	缌
蒔	莳
視	视
試	试
詩	诗
釃	酾
鈰	铈
鰣	鲥
蝕	蚀
識	识
軾	轼
飾	饰
燼	烬
紳	绅
腎	肾
藎	荩
訊	讯
贐	赆
實	实
瀋	沈
嬸	婶
審	审
尋	寻
潯	浔
瀋	渖
諗	谂
諶	谌
鐔	镡
鱘	鲟
雙	双
亞	亚
兒	儿
啞	哑
婭	娅
椏	桠
氬	氩
訝	讶
鈳	钶
錒	锕
餓	饿
鴉	鸦
鵝	鹅
嶽	岳
樂	乐
堊	垩
惡	恶
諤	谔
鍔	锷
顎	颚
鱷	鳄
鶚	鹗
齷	龌
贗	赝
銨	铵
頇	顸
顏	颜
訐	讦
謁	谒
軋	轧
閼	阏
巖	岩
菴	庵
嵒	岩
諳	谙
鵪	鹌
壓	压
鴨	鸭
鴦	鸯
礙	碍
噯	嗳
嬡	嫒
曖	暧
愛	爱
璦	瑷
皚	皑
藹	蔼
閡	阂
靄	霭
阨	厄
縊	缢
軛	轭
額	额
嚶	嘤
櫻	樱
罌	罂
鶯	莺
鸚	鹦
爺	爷
籥	龠
喲	哟
約	约
葯	药
藥	药
躍	跃
鑰	钥
孃	娘
癢	痒
養	养
颺	扬
揚	扬
楊	杨
樣	样
煬	炀
瘍	疡
讓	让
釀	酿
鑲	镶
瓖	镶
陽	阳
暘	阳
驤	骧
禦	御
漁	渔
語	语
飫	饫
馭	驭
魚	鱼
齬	龉
億	亿
憶	忆
鼴	鼹
彥	彦
牪	瘪
諺	谚
讞	谳
鎳	镍
隉	陧
嚴	严
儼	俨
醃	腌
釅	酽
閹	阉
業	业
鄴	邺
餘	余
與	与
歟	欤
畬	畲
輿	舆
蕷	蓣
銣	铷
睪	睾
嶧	峄
懌	怿
繹	绎
譯	译
閾	阈
驛	驿
縯	演
煙	烟
嚥	咽
兗	兖
櫞	橼
