# 한자|뜻|음|부수|획수
伽|절|가|亻|7
佳|아름다울, 좋을|가|亻|8
假|거짓, 잠시|가|亻|11
價|값|가|亻|15
加|더할, 미칠|가|力|5
可|옳을, 허락할|가|口|5
呵|꾸짖을, 껄껄웃을|가|口|8
哥|소리, 형|가|口|10
嘉|아름다울, 착할|가|口|14
嫁|시집갈, 떠넘길|가|女|13
家|집, 집안|가|宀|10
暇|겨를, 한가할|가|日|13
架|시렁, 횃대|가|木|9
枷|칼, 도리깨|가|木|9
柯|가지|가|木|9
歌|노래|가|欠|14
珂|백마노|가|王|9
痂|딱지|가|疒|10
稼|심을|가|禾|15
苛|독할, 까다로울|가|艹|9
茄|가지|가|艹|9
街|거리|가|行|12
袈|가사|가|衣|11
訶|꾸짖을|가|言|12
賈|값|가|貝|13
跏|책상다리할|가|足|12
軻|가기 힘들|가|車|12
迦|부처 이름|가|辶|9
駕|탈것, 탈|가|馬|15
刻|새길, 모질|각|刂|8
却|물리칠, 물러날|각|卩|7
各|각각|각|口|6
恪|삼갈|각|忄|9
慤|삼갈|각|心|15
殼|껍질|각|殳|12
珏|쌍옥|각|王|9
脚|다리, 발|각|月|11
覺|깨달을, 깨우칠|각|見|20
角|뿔, 쌍상투|각|角|7
閣|다락집, 잔교|각|門|14
侃|강직할|간|亻|8
刊|책펴낼, 새길|간|刂|5
墾|개간할|간|土|16
奸|간음할, 범할|간|女|6
姦|간음할, 간사할|간|女|9
干|방패, 범할|간|干|3
幹|줄기, 몸|간|干|13
懇|정성|간|心|17
揀|가릴|간|扌|12
杆|쓰러진 나무, 몽둥|간|木|7
柬|가릴, 편지|간|木|9
桿|쓰러진나무, 몽둥이|간|木|11
澗|산골물|간|氵|15
癎|경풍, 간질|간|疒|17
看|볼, 지킬|간|目|9
磵|산골물|간|石|17
稈|짚|간|禾|12
竿|장대|간|竹|9
簡|편지|간|竹|18
肝|간, 마음|간|月|7
艮|간괘, 머무를|간|艮|6
艱|어려울, 괴로울|간|艮|17
諫|간할|간|言|16
間|사이, 염탐꾼|간|門|12
乫|갈|갈|乙|6
喝|꾸짖을, 고함지를|갈|口|12
曷|어찌, 벌레 이름|갈|曰|9
渴|목마를, 갈증|갈|氵|12
碣|비, 둥근 비석|갈|石|14
竭|다할, 고갈할|갈|立|14
葛|칡, 갈포|갈|艹|13
褐|베옷, 털옷|갈|衤|14
蝎|전갈|갈|虫|15
鞨|오랑캐 이름|갈|革|18
勘|헤아릴|감|力|11
坎|구덩이, 괘 이름|감|土|7
堪|견딜, 하늘|감|土|12
嵌|산골짜기, 새겨넣을|감|山|12
感|느낄, 감동할|감|心|13
憾|한할|감|忄|16
戡|이길, 죽일|감|戈|13
敢|감히, 결단성 있을|감|攵|12
柑|홍귤나무|감|木|9
橄|감람나무|감|木|16
減|덜, 감할|감|氵|12
甘|달|감|甘|5
疳|감질|감|疒|10
監|볼, 비추어볼|감|皿|14
瞰|볼, 내려다볼|감|目|17
紺|감색|감|糸|11
邯|현 이름|감|阝|8
鑑|거울, 거울삼을|감|金|22
鑒|거울, 살필|감|金|22
龕|감실|감|龍|22
匣|갑|갑|匚|7
岬|갑, 산허구리|갑|山|8
甲|갑옷, 첫째 천간|갑|田|5
胛|어깨뼈|갑|月|9
鉀|갑옷|갑|金|13
閘|물문|갑|門|13
剛|굳셀|강|刂|10
堈|언덕, 독|강|土|11
姜|성, 굳셀|강|女|9
岡|산등성이|강|山|8
崗|산등성이|강|山|11
康|편안할, 즐거울|강|广|11
强|강할, 힘쓸|강|弓|12
彊|굳셀, 힘쓸|강|弓|16
慷|강개할|강|忄|14
江|물 이름|강|氵|6
畺|지경|강|田|13
疆|지경, 지경 정할|강|田|19
糠|겨, 자질할|강|米|17
絳|진홍|강|糸|12
綱|벼리, 근본|강|糸|14
羌|오랑캐|강|羊|8
腔|빈속, 가락|강|月|12
舡|배|강|舟|9
薑|생강|강|艹|17
襁|포대기, 띠|강|衤|16
講|풀이할, 익힐|강|言|17
鋼|강철|강|金|16
降|내릴|강|阝|9
鱇|천징어|강|魚|22
介|끼일|개|人|4
价|착할, 클|개|亻|6
個|낱|개|亻|10
凱|개선할, 즐길|개|几|12
塏|높은 땅|개|土|13
愷|편안할, 즐거울|개|忄|13
愾|성낼|개|忄|13
慨|슬퍼할, 강개할|개|忄|14
改|고칠|개|攵|7
槪|대개, 절개|개|木|15
漑|물댈|개|氵|14
疥|옴|개|疒|9
皆|다|개|白|9
盖|덮을, 대개|개|皿|11
箇|낱, 개수|개|竹|14
芥|겨자, 티끌|개|艹|8
蓋|덮을, 대개|개|艹|14
豈|개가|개|豆|10
鎧|갑옷|개|金|18
開|열, 필|개|門|12
喀|토할|객|口|12
客|손, 붙일|객|宀|9
坑|구덩이|갱|土|7
粳|메벼|갱|米|13
羹|국|갱|羊|19
更|다시|갱|曰|7
醵|추렴내어 마실|갹|酉|20
倨|거만할, 책상다리할|거|亻|10
去|갈, 버릴|거|厶|5
居|살, 있을|거|尸|8
巨|클|거|工|5
拒|막을, 물리칠|거|扌|8
据|일할|거|扌|11
據|의거할, 웅거할|거|扌|16
擧|들, 날|거|手|18
渠|도랑, 클|거|氵|12
炬|홰|거|火|9
祛|떨, 셀|거|示|10
距|떨어질, 며느리 발|거|足|12
踞|걸어앉을|거|足|15
車|수레|차|車|7
遽|급히, 두려워할|거|辶|17
鉅|클, 강할|거|金|13
鋸|톱|거|金|16
乾|하늘, 마를|건|乙|11
件|것, 건|건|亻|6
健|건강할, 굳셀|건|亻|11
巾|수건, 건|건|巾|3
建|세울, 일으킬|건|廴|9
愆|허물, 어그러질|건|心|13
楗|문빗장|건|木|13
腱|힘줄|건|月|13
虔|삼갈, 빼앗을|건|虍|10
蹇|절뚝발, 교만할|건|足|17
鍵|열쇠|건|金|17
騫|이지러질, 허물|건|馬|20
乞|빌|걸|乙|3
傑|뛰어날|걸|亻|12
杰|뛰어날, 훌륭할|걸|木|8
桀|하왕 이름, 찢을|걸|木|10
儉|검소할, 넉넉치 못할|검|亻|15
劍|칼|검|刂|15
劒|칼|검|刀|16
檢|조사할, 금제할|검|木|17
瞼|눈꺼풀|검|目|18
鈐|비녀장, 찍을|검|金|12
黔|검을, 그을을|검|黑|16
劫|겁탈할, 위협할|겁|力|7
怯|겁낼, 겁많은|겁|忄|8
迲|자내|겁|辶|9
偈|중의 귀글|게|亻|11
憩|쉴|게|心|16
揭|들|게|扌|12
擊|칠, 마주칠|격|手|17
格|이를, 자품|격|木|10
檄|격문, 편지|격|木|17
激|과격할, 심할|격|氵|16
膈|간막이, 흉격|격|月|14
覡|박수|격|見|14
隔|막을, 뜰|격|阝|13
堅|굳을|견|土|11
牽|끌, 이을|견|牛|11
犬|개|견|犬|4
甄|질그릇 구울, 살필|견|瓦|14
絹|명주|견|糸|13
繭|고치|견|糸|19
肩|어깨|견|月|8
譴|꾸짖을|견|言|21
遣|보낼|견|辶|14
鵑|두견이|견|鳥|18
見|볼, 견해|견|見|7
抉|도려낼, 들추어낼|결|扌|7
決|결정할, 끊을|결|氵|7
潔|깨끗할|결|氵|15
結|맺, 끝맺을|결|糸|12
缺|이지러질, 깨어질|결|缶|10
訣|헤어질, 비결|결|言|11
兼|겸할|겸|八|10
慊|만족치 않을, 앙심|겸|忄|13
箝|재갈먹일, 끼울|겸|竹|14
謙|겸손할, 사양할|겸|言|17
鉗|칼, 다물|겸|金|13
鎌|낫|겸|金|18
京|서울, 클|경|亠|8
俓|지름길, 곧을|경|亻|9
倞|굳셀|경|亻|10
傾|기울어질, 위태로울|경|亻|13
儆|경계할|경|亻|15
勁|굳셀|경|力|9
勍|힘셀|경|力|10
卿|벼슬, 존칭|경|卩|12
坰|들|경|土|8
境|지경, 형편|경|土|14
庚|일곱째 천간, 길|경|广|8
慶|경사|경|心|15
憬|깨달을, 멀|경|忄|15
擎|들|경|手|17
敬|공경할, 삼갈|경|攵|13
景|빛, 경치|경|日|12
暻|밝을|경|日|16
更|고칠, 바꿀|경|曰|7
梗|대강, 곧을|경|木|11
涇|통할, 물 이름|경|氵|10
炅|빛날, 열기|경|火|8
烱|빛날|경|火|11
璟|옥빛|경|王|16
璥|경옥|경|王|17
瓊|옥, 붉은 옥|경|王|19
痙|심줄 당길|경|疒|12
硬|단단할, 강할|경|石|12
磬|경쇠, 경석|경|石|16
竟|끝날, 마침내|경|立|11
競|다툴, 겨룰|경|立|20
絅|잡아 당길, 엄할|경|糸|11
經|지날, 다스릴|경|糸|13
耕|갈|경|耒|10
耿|빛, 굳을|경|耳|10
脛|정강이, 곳곳할|경|月|11
莖|줄기, 버팀목|경|艹|11
警|경계할, 깨달을|경|言|20
輕|가벼울, 가벼이|경|車|14
逕|좁은 길, 가까울|경|辶|11
鏡|거울, 살필|경|金|19
頃|백 이랑의 밭, 잠깐|경|頁|11
頸|목|경|頁|16
驚|놀랄|경|馬|23
鯨|고래|경|魚|19
係|맬, 이을|계|亻|9
啓|열, 인도할|계|口|11
堺|지경|계|土|12
契|맺을|계|大|9
季|끌, 철|계|子|8
屆|이를, 극한|계|尸|8
悸|두근거릴, 늘어질|계|忄|11
戒|경계할, 교훈|계|戈|7
桂|계수나무|계|木|10
械|기구, 형틀|계|木|11
棨|창|계|木|12
溪|시내|계|氵|13
界|지경, 한계|계|田|9
癸|열째 천간, 경도|계|癶|9
磎|시내, 골이진 곳|계|石|15
稽|상고할, 헤아릴|계|禾|16
系|이을, 맬|계|糸|7
繫|맬, 얽을|계|糸|19
繼|이를|계|糸|20
計|셈, 꾀|계|言|9
誡|경계할, 고할|계|言|14
谿|시내|계|谷|17
階|섬돌, 사닥다리|계|阝|12
鷄|닭|계|鳥|21
古|예, 옛|고|口|5
叩|두드릴, 조아릴|고|口|5
告|알릴|고|口|7
呱|울, 아이우는 소리|고|口|8
固|굳을, 진실로|고|囗|8
姑|시어미, 고모|고|女|8
孤|외로울, 아비없을|고|子|8
尻|꽁무니, 밑바닥|고|尸|5
庫|곳집|고|广|10
拷|두드릴, 때릴|고|扌|9
攷|상고할, 아버지|고|攵|6
故|일, 연고|고|攵|9
敲|두드릴|고|攴|14
暠|흴, 밝을|고|日|14
枯|마를, 마른 나무|고|木|9
槁|마를|고|木|14
沽|팔, 살|고|氵|8
痼|고질|고|疒|13
皐|부르는 소리|고|白|11
睾|불알, 넓을|고|目|14
稿|볏짚, 원고|고|禾|15
羔|양새끼|고|羊|10
考|상고할, 아버지|고|耂|6
股|넓적다리, 고|고|月|8
膏|기름질, 고약|고|月|14
苦|괴로울, 쓸|고|艹|9
苽|풀 이름, 줄|고|艹|9
菰|줄, 줄풀|고|艹|12
藁|짚, 마를|고|艹|18
蠱|뱃속 벌레, 미혹케|고|虫|23
袴|바지|고|衤|11
誥|고할|고|言|14
賈|살, 장사|고|貝|13
辜|허물|고|辛|12
錮|막을, 고질|고|金|16
雇|품살, 고용할|고|隹|12
顧|돌아볼, 돌볼|고|頁|21
高|높을|고|高|10
鼓|북|고|鼓|13
哭|울, 곡|곡|口|10
斛|휘|곡|斗|11
曲|굽을, 구석|곡|曰|6
梏|수갑|곡|木|11
穀|곡식, 좋을|곡|禾|15
谷|골|곡|谷|7
鵠|고니, 정곡|곡|鳥|18
困|곤할, 어려울|곤|囗|7
坤|땅, 괘 이름|곤|土|8
崑|산 이름|곤|山|11
昆|형, 자손|곤|日|8
梱|문지방|곤|木|11
棍|몽둥이, 곤장|곤|木|12
滾|흐를, 샘솟을|곤|氵|14
琨|옥돌|곤|王|12
袞|곤룡포, 예복|곤|衣|11
鯤|곤이|곤|魚|19
汨|다스릴|골|氵|7
滑|어지러울|골|氵|13
骨|뼈|골|骨|10
供|이바지할, 바칠|공|亻|8
公|공변될, 여러|공|八|4
共|함께|공|八|6
功|공, 상복 이름|공|力|5
孔|구멍, 매우|공|子|4
工|장인, 공교할|공|工|3
恐|두려울|공|心|10
恭|공손할, 삼갈|공|心|10
拱|팔장낄, 아름|공|扌|9
控|당길, 칠|공|扌|11
攻|칠, 닦을|공|攵|7
珙|옥, 큰구슬|공|王|10
空|빌, 하늘|공|穴|8
蚣|지네|공|虫|10
貢|바칠, 천거할|공|貝|10
鞏|굳을|공|革|15
串|땅 이름|곶|丨|7
寡|적을, 홀어미|과|宀|14
戈|창|과|戈|4
果|실과, 과단성 있을|과|木|8
瓜|오이|과|瓜|5
科|품등, 조목|과|禾|9
菓|실과, 과자|과|艹|12
誇|자랑할, 뽐낼|과|言|13
課|시험할, 차례|과|言|15
跨|넘을|과|足|13
過|지날, 잘못할|과|辶|13
鍋|노구솥, 남비|과|金|17
顆|낱알, 흙덩이|과|頁|17
廓|외성|곽|广|14
槨|덧널, 관담는 궤|곽|木|15
藿|콩잎, 곽향|곽|艹|20
郭|밭재, 둘레|곽|阝|11
串|버릇|관|丨|7
冠|갓, 어른|관|冖|9
官|벼슬, 기관|관|宀|8
寬|너그러울|관|宀|15
慣|익숙할, 버릇|관|忄|14
棺|널|관|木|12
款|정성, 조목|관|欠|12
灌|물댈, 따를|관|氵|21
琯|피리|관|王|12
瓘|옥 이름|관|王|22
管|관, 맡을|관|竹|14
罐|두레박|관|缶|24
菅|솔새|관|艹|12
觀|볼, 생각|관|見|25
貫|꿸, 명적|관|貝|11
關|문빗장, 관계할|관|門|19
館|객사, 묵을|관|食|17
刮|비빌, 깎을|괄|刂|8
恝|근심없을|괄|心|10
括|쌀, 맺을|괄|扌|9
适|빠를|괄|辶|10
侊|성한 모양, 푸짐한|광|亻|8
光|빛, 영화|광|儿|6
匡|바를, 두려워할|광|匚|6
壙|광중, 텅빌|광|土|18
廣|넓을, 널리|광|广|15
曠|빌, 멀|광|日|19
洸|성낼, 용감할|광|氵|9
炚|비칠, 밝을|광|火|8
狂|미칠, 사나울|광|犭|7
珖|옥피리, 옥 이름|광|王|10
筐|광주리|광|竹|12
胱|오줌통|광|月|10
鑛|쇳돌|광|金|23
卦|점괘|괘|卜|8
掛|걸|괘|扌|11
罫|줄|괘|罒|13
乖|어그러질|괴|丿|8
傀|꼭둑각시, 클|괴|亻|12
塊|덩어리|괴|土|13
壞|무너질|괴|土|19
怪|기이할, 의심할|괴|忄|8
愧|부끄러워 할|괴|忄|13
拐|유인할, 지팡이|괴|扌|8
槐|회화나무|괴|木|14
魁|우두머리, 클|괴|鬼|14
宏|클|굉|宀|7
紘|클, 끈|굉|糸|10
肱|팔뚝|굉|月|8
轟|울릴|굉|車|21
交|사귈, 섞일|교|亠|6
僑|객지 에살|교|亻|14
咬|깨물, 새 지저귈|교|口|9
喬|높을, 교만할|교|口|12
嬌|아리따울, 아양떨|교|女|15
嶠|산 쭈볏할, 산길|교|山|15
巧|공교할|교|工|5
攪|어지러울, 휘저을|교|扌|23
敎|가르칠, 교령|교|攵|11
校|학교, 교정할|교|木|10
橋|다리|교|木|16
狡|교활할|교|犭|9
皎|흴, 밝을|교|白|11
矯|바로 잡을, 속일|교|矢|17
絞|목맬, 목매어 죽일|교|糸|12
翹|뛰어날, 우뚝할|교|羽|18
膠|갖풀, 굳을|교|月|15
蕎|메밀|교|艹|16
蛟|교룡|교|虫|12
較|견줄, 대강|교|車|13
轎|가마|교|車|19
郊|들, 시골|교|阝|9
餃|경단|교|食|15
驕|교만할|교|馬|22
鮫|상어|교|魚|17
丘|언덕, 무덤|구|一|5
久|오랠|구|丿|3
九|아홉, 많을|구|乙|2
仇|원수, 짝|구|亻|4
俱|함께, 다|구|亻|10
具|갖출, 그릇|구|八|8
勾|굽을, 갈고리|구|勹|4
區|구역, 나눌|구|匸|11
口|입, 말할|구|口|3
咎|허물, 재앙|구|口|8
嘔|토할, 기뻐할|구|口|14
坵|언덕|구|土|8
垢|때|구|土|9
寇|도둑, 외적|구|宀|11
嶇|가파를, 얼틀먼틀할|구|山|14
廐|마구|구|广|14
懼|두려워할|구|忄|21
拘|거리낄, 잡을|구|扌|8
救|구원할, 도울|구|攵|11
枸|구기자|구|木|9
柩|널|구|木|9
構|얽을, 맺을|구|木|14
歐|토할, 구라파|구|欠|15
毆|칠|구|殳|15
毬|공|구|毛|11
求|구할, 탐낼|구|氺|7
溝|도랑, 해자|구|氵|13
灸|뜸, 뜸질할|구|火|7
狗|개, 강아지|구|犭|8
玖|옥돌, 아홉|구|王|7
球|옥, 공|구|王|11
瞿|놀랄|구|目|18
矩|곱자, 법|구|矢|10
究|궁구할, 다할|구|穴|7
絿|급할|구|糸|13
耉|늙을, 늙은이|구|老|9
臼|절구|구|臼|6
舅|시아버지, 장인|구|臼|13
舊|예, 오랠|구|臼|18
苟|진실로, 단지|구|艹|9
衢|거리, 네거리|구|行|24
謳|노래할|구|言|18
購|살|구|貝|17
軀|몸|구|身|18
逑|짝, 모을|구|辶|11
邱|언덕|구|阝|8
鉤|갈고리|구|金|13
銶|끌|구|金|15
駒|망아지|구|馬|15
驅|몰, 쫓아 보낼|구|馬|21
鳩|비둘기, 모을|구|鳥|13
鷗|갈매기|구|鳥|22
句|구절|구|口|5
龜|나라 이름, 거북|구|龜|16
國|나라|국|囗|11
局|판, 말릴|국|尸|7
菊|국화|국|艹|12
鞠|기를, 굽힐|국|革|17
鞫|국문할|국|革|18
麴|누룩|국|麥|19
君|임금, 남편|군|口|7
窘|군색할, 괴로와할|군|穴|12
群|무리, 떼질|군|羊|13
裙|치마|군|衤|12
軍|군사, 진칠|군|車|9
郡|고을|군|阝|10
堀|굴, 팔|굴|土|11
屈|굽을, 굽힐|굴|尸|8
掘|팔, 파낼|굴|扌|11
窟|굴, 움|굴|穴|13
宮|집, 궁궐|궁|宀|10
弓|활, 여덟자|궁|弓|3
穹|하늘, 활꼴|궁|穴|8
窮|다할, 궁구할|궁|穴|15
芎|궁궁이|궁|艹|7
躬|몸|궁|身|10
倦|게으를|권|亻|10
券|문서|권|刀|8
勸|권할|권|力|20
卷|책권, 접을|권|卩|8
圈|우리, 한정된 지역|권|囗|11
拳|주먹|권|手|10
捲|말, 주먹|권|扌|11
權|권세, 권도|권|木|22
淃|물흐를|권|氵|11
眷|돌아볼, 겨레붙이|권|目|11
厥|그, 나라 이름|궐|厂|12
獗|날뛸|궐|犭|15
蕨|고사리|궐|艹|16
蹶|넘어질, 뛸|궐|足|19
闕|대궐, 궐할|궐|門|18
机|책상|궤|木|6
櫃|함, 궤|궤|木|18
潰|무너질, 흩어질|궤|氵|15
詭|책할, 속일|궤|言|13
軌|바퀴사이, 법|궤|車|9
饋|보낼|궤|食|21
句|구절|귀|口|5
晷|해 그림자, 해시계|귀|日|12
歸|돌아올, 붙좇을|귀|止|18
貴|귀할, 귀히 여길|귀|貝|12
鬼|귀신|귀|鬼|10
龜|거북, 본뜰|귀|龜|16
叫|부르짖을|규|口|5
圭|서옥, 용량 단위|규|土|6
奎|별|규|大|9
揆|헤아릴|규|扌|12
槻|물푸레나무|규|木|15
珪|홀, 용량단위|규|王|10
硅|규소|규|石|11
窺|엿볼|규|穴|16
竅|구멍, 구멍뚫을|규|穴|18
糾|꼴, 모을|규|糸|8
葵|해바라기, 아욱|규|艹|13
規|법, 바로잡을|규|見|11
赳|용맹스러울, 재능|규|走|9
逵|길|규|辶|12
閨|협문, 도장방|규|門|14
勻|고를, 흩어질|균|勹|4
均|고를|균|土|7
畇|밭 일굴|균|田|9
筠|대, 껍질|균|竹|13
菌|버섯, 곰팡이|균|艹|12
鈞|설흔 근, 고를|균|金|12
龜|틀|균|龜|16
橘|귤|귤|木|16
克|이길, 능할|극|儿|7
剋|이길, 정할|극|刂|9
劇|심할, 연극|극|刂|15
戟|갈래진 창|극|戈|12
棘|가시나무|극|木|12
極|지극할, 다할|극|木|13
隙|틈|극|阝|13
僅|겨우, 적을|근|亻|13
劤|힘|근|力|6
勤|권할|근|力|13
懃|은근할, 일에 힘쓸|근|心|17
斤|근|근|斤|4
根|뿌리, 근본|근|木|10
槿|무궁화|근|木|15
瑾|붉은 옥|근|王|15
筋|힘줄, 힘|근|竹|12
芹|미나리|근|艹|8
菫|제비꽃, 오랑캐 꽃|근|艹|12
覲|뵐|근|見|18
謹|삼갈, 금할|근|言|18
近|가까울, 가까이할|근|辶|8
饉|흉년들|근|食|20
契|나라 이름|글|大|9
今|이제|금|人|4
妗|외숙모|금|女|7
擒|사로잡을, 잡을|금|扌|16
昑|밝을|금|日|8
檎|능금나무|금|木|17
琴|거문고|금|王|12
禁|금할, 대궐|금|示|13
禽|날짐승, 사로잡을|금|禸|13
芩|풀 이름|금|艹|8
衾|이불|금|衣|10
衿|옷깃|금|衤|9
襟|깃, 가슴|금|衤|18
錦|비단|금|金|16
金|쇠, 황금|금|金|8
伋|생각할, 거짓|급|亻|6
及|미칠, 및(접속사)|급|又|4
急|급할, 중요할|급|心|9
扱|취급할|급|扌|7
汲|길을, 당길|급|氵|7
級|등급, 모가지|급|糸|10
給|넉넉할, 댈|급|糸|12
亘|걸칠, 뻗칠|긍|二|6
兢|조심할, 삼갈|긍|儿|14
矜|창자루, 불쌍히 여길|긍|矛|9
肯|즐기어 할|긍|月|8
豈|어찌|기|豆|10
企|도모할, 발돋움할|기|人|6
伎|재주|기|亻|6
其|그, 어조사|기|八|8
冀|바랄|기|八|16
嗜|즐길|기|口|13
器|그릇, 인물|기|口|16
圻|서울지경|기|土|7
基|터|기|土|11
埼|언덕머리|기|土|11
夔|조심할, 외발짐승|기|夊|20
奇|기이할, 홀수|기|大|8
妓|기생, 갈보|기|女|7
寄|부칠, 맡길|기|宀|11
岐|갈림길|기|山|7
崎|험할|기|山|11
己|몸, 여섯째 천간|기|己|3
幾|몇, 기미|기|幺|12
忌|꺼릴, 미워할|기|心|7
技|재주|기|扌|7
旗|기, 표|기|方|14
旣|이미|기|无|11
朞|돐|기|月|12
期|기약할, 백년|기|月|12
杞|소태나무, 나무 이|기|木|7
棋|바둑|기|木|12
棄|버릴|기|木|12
機|베틀, 틀|기|木|16
欺|속일|기|欠|12
氣|기운, 숨|기|气|10
汽|김|기|氵|7
沂|물 이름|기|氵|7
淇|물 이름|기|氵|11
玘|패옥, 노리개|기|王|7
琦|옥, 기이할|기|王|12
琪|옥|기|王|12
璂|꾸미개|기|王|15
璣|구슬, 선기|기|王|16
畸|뙈기밭, 기이할|기|田|13
畿|경기, 기내|기|田|15
碁|바둑|기|石|13
磯|물가, 부딪칠|기|石|17
祁|성할, 클|기|示|8
祇|땅귀신, 편안할|기|示|9
祈|빌, 고할|기|示|9
祺|길할, 편안할|기|示|13
箕|키, 쓰레받기|기|竹|14
紀|실마리, 법|기|糸|9
綺|비단, 무늬|기|糸|14
羈|굴레, 맬|기|罒|24
耆|늙은이, 늙을|기|老|10
耭|밭갈|기|耒|18
肌|살가죽|기|月|6
記|적을, 기억할|기|言|10
譏|나무랄, 기찰할|기|言|19
起|일어날, 일으킬|기|走|10
錡|가마솥|기|金|16
錤|호미|기|金|16
飢|주릴, 흉년들|기|食|11
饑|주릴|기|食|21
騎|말탈|기|馬|18
騏|검푸른 말, 준마|기|馬|18
驥|천리마|기|馬|26
麒|기린|기|鹿|19
緊|급할, 팽팽할|긴|糸|14
佶|건장할|길|亻|8
吉|길할, 행복할|길|口|6
拮|바쁘게 일할, 죄어|길|扌|9
桔|도라지, 두레박틀|길|木|10
金|성|김|金|8
喫|마실, 당할|끽|口|12
儺|역귀 쫓을|나|亻|21
奈|어찌|나|大|8
娜|날씬할|나|女|10
懦|나약할, 겁장이|나|忄|17
拿|붙잡을|나|手|10
癩|문둥병|나|疒|21
羅|늘어설, 그물|나|罒|19
蘿|쑥, 무우|나|艹|23
裸|벌거숭이|나|衤|13
邏|돌|나|辶|23
那|어찌|나|阝|7
喇|나팔, 승려, 말 급히 할|나|口|12
懶|게으를|나|忄|19
拏|붙잡을|나|手|9
螺|소라, 고동|나|虫|17
樂|즐길, 편안할|낙|木|15
洛|물 이름|낙|氵|9
烙|지질|낙|火|10
珞|구슬목걸이|낙|王|10
落|떨어질|낙|艹|13
酪|타락, 술|낙|酉|13
駱|낙타, 가리온|낙|馬|16
諾|대답할, 승낙할|낙|言|16
亂|어지러울, 난리|난|乚|13
卵|알, 기를|난|卩|7
暖|따뜻할|난|日|13
欄|난간, 난|난|木|21
煖|따뜻할|난|火|13
爛|빛날, 문드러질|난|火|21
蘭|난초|난|艹|21
難|어려울, 나무랄|난|隹|19
鸞|난새, 방울|난|鳥|30
捏|반죽할, 꿰어 맞출|날|扌|10
捺|손으로 누를|날|扌|11
南|남녘|남|十|9
嵐|남기|남|山|12
枏|녹나무|남|木|8
楠|녹나무|남|木|13
湳|물 이름|남|氵|12
濫|넘칠, 함부로|남|氵|17
男|사내, 아들|남|田|7
藍|쪽, 남빛|남|艹|18
襤|헌 누더기|남|衤|19
拉|끌고 갈, 꺾을|납|扌|8
納|들일, 받을|납|糸|10
臘|납향, 섣달|납|月|19
蠟|밀, 밀초|납|虫|21
衲|기울, 중|납|衤|9
囊|주머니|낭|口|22
娘|각시, 어머니|낭|女|10
廊|행랑, 곁채|낭|广|13
朗|밝을|낭|月|11
浪|물결, 방랑할|낭|氵|10
狼|이리, 어지러울|낭|犭|10
郎|사내, 낭군|낭|阝|10
奈|어찌|내|大|8
乃|이에, 너|내|丿|2
來|올, 다가올|내|人|8
內|안, 나라 안|내|入|4
柰|능금나무|내|木|9
耐|견딜, 참을|내|而|9
冷|찰, 쌀쌀할|냉|冫|7
女|계집, 딸|녀|女|3
撚|꼴, 손끝으로 비빌|년|扌|15
年|해, 나이|년|干|6
秊|해, 나이|년|禾|8
恬|편안할, 고요할|념|忄|9
拈|집을, 딸|념|扌|8
念|생각, 욀|념|心|8
捻|비틀|념|扌|11
寗|차리리, 소원|녕|宀|13
寧|편안할, 차라리|녕|宀|14
努|힘쓸|노|力|7
勞|수고로울, 위로할|노|力|12
奴|종, 놈|노|女|5
弩|쇠뇌|노|弓|8
擄|노략질할, 사로잡을|노|扌|16
櫓|노, 방패|노|木|19
爐|화로|노|火|20
瑙|마노|노|王|13
盧|목로, 검을|노|皿|16
蘆|갈대|노|艹|20
虜|사로잡을, 포로|노|虍|12
路|길|노|足|13
露|이슬, 드러날|노|雨|20
駑|둔할, 미련할|노|馬|15
魯|미련할, 노나라|노|魚|15
鷺|백로|노|鳥|23
怒|성낼, 세찰|노|心|9
老|늙을, 늙은이|노|老|6
碌|자갈땅, 푸른빛|녹|石|13
祿|복, 녹|녹|示|13
綠|초록빛|녹|糸|14
菉|조개풀, 적을|녹|艹|12
錄|적을, 나타낼|녹|金|16
鹿|사슴|녹|鹿|11
論|말할, 논할|논|言|15
壟|밭두둑, 언덕|농|土|19
弄|희롱할, 놀|농|廾|7
濃|짙을, 깊을|농|氵|16
籠|농, 새장|농|竹|22
聾|귀먹을, 캄캄할|농|耳|22
膿|고름|농|月|17
農|농사|농|辰|13
惱|괴로와할|뇌|忄|12
牢|우뢰, 감옥|뇌|牛|7
腦|머릿골, 머리|뇌|月|13
賂|뇌물|뇌|貝|13
雷|천둥, 칠|뇌|雨|13
磊|돌쌓일, 뜻클|뇌|石|15
尿|오줌|뇨|尸|7
壘|진, 쌓을|누|土|18
屢|자주, 여러|누|尸|14
樓|다락|누|木|15
淚|눈물, 울|누|氵|11
漏|샐, 물시계|누|氵|14
累|여러, 폐끼칠|누|糸|11
縷|실, 자세할|누|糸|17
陋|추할, 좁을|누|阝|9
嫩|어릴|눈|女|14
訥|말더듬을|눌|言|11
杻|감탕나무|뉴|木|8
紐|맬, 끈|뉴|糸|10
勒|굴레, 억지로 할|늑|力|11
肋|갈빗대|늑|月|6
凜|찰, 늠름할|늠|冫|15
凌|능가할, 업신여길|능|冫|10
稜|모, 서슬|능|禾|13
綾|비단|능|糸|14
能|능할, 재능|능|月|10
菱|마름|능|艹|12
陵|언덕, 능|능|阝|11
尼|여승|니|尸|5
泥|진흙, 수렁|니|氵|8
